ClassID,ClassName_ZH,ClassAccuracy
0,步行,0.9417475727241023
1,坐姿呼吸,0.9999999999056605
2,跳跃,0.013333333331555557
3,挥手,0.7142857142176872
4,跑步,0.655172413736623
